# overall_by_level
provider,model,elicitation_level,n,process_success_rate,final_success_rate,joint_success_rate,avg_error_count
mock,mock-model,L0,30,0.16666666666666666,0.7666666666666667,0.16666666666666666,1.5333333333333334
mock,mock-model,L1,30,0.2,0.8666666666666667,0.2,1.1333333333333333
mock,mock-model,L2,30,0.26666666666666666,0.8333333333333334,0.26666666666666666,1.2333333333333334
mock,mock-model,L3,30,0.43333333333333335,0.8666666666666667,0.43333333333333335,0.9333333333333333
mock,mock-model,L4,30,0.6,0.9666666666666667,0.6,0.5
mock,mock-model,L5,30,0.7333333333333333,0.9666666666666667,0.7333333333333333,0.4666666666666667
mock,mock-model,L6,30,0.7,0.8666666666666667,0.7,0.6
mock,mock-model,L7,30,0.9,1.0,0.9,0.16666666666666666

# by_category
provider,model,elicitation_level,category,n,process_success_rate,final_success_rate,joint_success_rate,avg_error_count
mock,mock-model,L0,biology,6,0.16666666666666666,0.8333333333333334,0.16666666666666666,1.3333333333333333
mock,mock-model,L1,biology,6,0.0,1.0,0.0,1.1666666666666667
mock,mock-model,L2,biology,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5
mock,mock-model,L3,biology,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
mock,mock-model,L4,biology,6,0.5,0.8333333333333334,0.5,0.8333333333333334
mock,mock-model,L5,biology,6,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666666
mock,mock-model,L6,biology,6,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334
mock,mock-model,L7,biology,6,1.0,1.0,1.0,0.0
mock,mock-model,L0,coding,6,0.16666666666666666,0.5,0.16666666666666666,2.0
mock,mock-model,L1,coding,6,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666
mock,mock-model,L2,coding,6,0.5,1.0,0.5,0.5
mock,mock-model,L3,coding,6,0.5,1.0,0.5,0.6666666666666666
mock,mock-model,L4,coding,6,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
mock,mock-model,L5,coding,6,0.5,1.0,0.5,0.8333333333333334
mock,mock-model,L6,coding,6,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
mock,mock-model,L7,coding,6,1.0,1.0,1.0,0.0
mock,mock-model,L0,logic,9,0.2222222222222222,0.8888888888888888,0.2222222222222222,1.1111111111111112
mock,mock-model,L1,logic,9,0.2222222222222222,0.6666666666666666,0.2222222222222222,1.4444444444444444
mock,mock-model,L2,logic,9,0.2222222222222222,0.7777777777777778,0.2222222222222222,1.4444444444444444
mock,mock-model,L3,logic,9,0.3333333333333333,0.8888888888888888,0.3333333333333333,1.0
mock,mock-model,L4,logic,9,0.6666666666666666,1.0,0.6666666666666666,0.4444444444444444
mock,mock-model,L5,logic,9,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.5555555555555556
mock,mock-model,L6,logic,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666
mock,mock-model,L7,logic,9,0.7777777777777778,1.0,0.7777777777777778,0.3333333333333333
mock,mock-model,L0,math,9,0.1111111111111111,0.7777777777777778,0.1111111111111111,1.7777777777777777
mock,mock-model,L1,math,9,0.2222222222222222,0.8888888888888888,0.2222222222222222,1.1111111111111112
mock,mock-model,L2,math,9,0.1111111111111111,0.8888888888888888,0.1111111111111111,1.3333333333333333
mock,mock-model,L3,math,9,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.7777777777777778
mock,mock-model,L4,math,9,0.5555555555555556,1.0,0.5555555555555556,0.4444444444444444
mock,mock-model,L5,math,9,0.7777777777777778,1.0,0.7777777777777778,0.3333333333333333
mock,mock-model,L6,math,9,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.5555555555555556
mock,mock-model,L7,math,9,0.8888888888888888,1.0,0.8888888888888888,0.2222222222222222

# threshold_metrics
provider,model,metric,l0_joint_success_rate,best_joint_success_rate,capability_propensity_gap,minimum_elicitation_level,reliability_threshold
mock,mock-model,overall,0.16666666666666666,0.9,0.7333333333333334,L7,0.8
